TIME,N2O,DO,Q_in,T
2016-01-01 00:00:00,0.505882383,2.11875,23.3125,12.85625
2016-01-01 00:15:00,0.494209208,2.113333333,17.73333333,12.81333333
2016-01-01 00:30:00,0.507372584,1.964285714,24.92857143,12.81428571
2016-01-01 00:45:00,0.524761136,1.9,25.6,12.9
2016-01-01 01:00:00,0.540888994,2.046666667,29.73333333,12.9
2016-01-01 01:15:00,0.552243304,1.966666667,28.93333333,12.9
2016-01-01 01:30:00,0.542716731,2.13125,31.5625,12.9
2016-01-01 01:45:00,0.523532742,2.12,31.6,12.9
2016-01-01 02:00:00,0.502002432,2.2,26.07142857,12.9
2016-01-01 02:15:00,0.458295684,2.14,18.73333333,12.9
2016-01-01 02:30:00,0.437743949,2.08,14.33333333,12.9
2016-01-01 02:45:00,0.38850713,2.506666667,14.2,12.82
2016-01-01 03:00:00,0.321188931,2.15,13.9375,12.8
2016-01-01 03:15:00,0.298752726,1.88,14.6,12.88
2016-01-01 03:30:00,0.304690638,1.864285714,14.42857143,12.81428571
2016-01-01 03:45:00,0.320423299,1.953333333,7.866666667,12.8
2016-01-01 04:00:00,0.289704182,2.466666667,10.86666667,12.8
2016-01-01 04:15:00,0.239834692,1.993333333,11.66666667,12.84
2016-01-01 04:30:00,0.257845792,1.75625,11.625,12.81875
2016-01-01 04:45:00,0.27135173,1.96,11.33333333,12.82
2016-01-01 05:00:00,0.275768088,2.042857143,11.71428571,12.8
2016-01-01 05:15:00,0.267197756,2.28,11.4,12.8
2016-01-01 05:30:00,0.230377611,2.12,11.8,12.8
2016-01-01 05:45:00,0.225791146,1.92,11.6,12.8
2016-01-01 06:00:00,0.239215015,1.7625,12.875,12.8
2016-01-01 06:15:00,0.255817369,1.926666667,20.73333333,12.8
2016-01-01 06:30:00,0.276670193,1.928571429,30.07142857,12.8
2016-01-01 06:45:00,0.270516513,2.12,40.4,12.8
2016-01-01 07:00:00,0.274100418,1.546666667,75.0,12.80666667
2016-01-01 07:15:00,0.379203186,1.253333333,47.33333333,12.84
2016-01-01 07:30:00,0.445488074,1.575,39.5625,12.85625
2016-01-01 07:45:00,0.466701692,2.34,22.26666667,12.86
2016-01-01 08:00:00,0.394801714,2.735714286,8.928571429,12.8
2016-01-01 08:15:00,0.330422346,2.313333333,5.8,12.8
2016-01-01 08:30:00,0.288284998,2.193333333,6.6,12.8
2016-01-01 08:45:00,0.254750407,2.16,7.666666667,12.8
2016-01-01 09:00:00,0.234459924,1.96875,8.375,12.7875
2016-01-01 09:15:00,0.221401297,2.24,6.866666667,12.7
2016-01-01 09:30:00,0.191315326,2.092857143,6.357142857,12.72857143
2016-01-01 09:45:00,0.192630862,1.906666667,8.466666667,12.76666667
2016-01-01 10:00:00,0.191612158,2.053333333,8.933333333,12.76
2016-01-01 10:15:00,0.194398486,1.933333333,8.266666667,12.8
2016-01-01 10:30:00,0.192039905,2.14375,10.625,12.8
2016-01-01 10:45:00,0.172594124,2.073333333,10.13333333,12.78666667
2016-01-01 11:00:00,0.177841109,1.785714286,7.071428571,12.7
2016-01-01 11:15:00,0.19328977,1.786666667,7.533333333,12.71333333
2016-01-01 11:30:00,0.210578813,2.08,13.4,12.79333333
2016-01-01 11:45:00,0.192598105,2.38,12.8,12.73333333
2016-01-01 12:00:00,0.171849623,1.91875,13.1875,12.775
2016-01-01 12:15:00,0.181024825,1.78,13.73333333,12.8
2016-01-01 12:30:00,0.201117314,1.835714286,19.92857143,12.8
2016-01-01 12:45:00,0.21486684,2.073333333,27.26666667,12.8
2016-01-01 13:00:00,0.221938056,1.7,22.8,12.8
2016-01-01 13:15:00,0.249676157,1.953333333,15.86666667,12.8
2016-01-01 13:30:00,0.246966112,2.09375,14.25,12.8
2016-01-01 13:45:00,0.242419808,2.273333333,9.666666667,12.78666667
2016-01-01 14:00:00,0.209590028,2.235714286,8.571428571,12.79285714
2016-01-01 14:15:00,0.19143289,1.94,9.866666667,12.78
2016-01-01 14:30:00,0.190465598,1.906666667,9.4,12.76
2016-01-01 14:45:00,0.194155215,1.846666667,9.133333333,12.71333333
2016-01-01 15:00:00,0.209645134,1.9375,11.4375,12.7375
2016-01-01 15:15:00,0.198281422,2.42,10.6,12.78
2016-01-01 15:30:00,0.159236129,2.171428571,17.07142857,12.8
2016-01-01 15:45:00,0.179347595,1.386666667,25.46666667,12.8
2016-01-01 16:00:00,0.239702703,1.493333333,26.4,12.8
2016-01-01 16:15:00,0.292201862,1.906666667,16.8,12.8
2016-01-01 16:30:00,0.282169691,2.58125,14.8125,12.75
2016-01-01 16:45:00,0.219092877,2.333333333,12.26666667,12.8
2016-01-01 17:00:00,0.209339215,1.642857143,9.571428571,12.8
2016-01-01 17:15:00,0.225080695,1.9,10.06666667,12.8
2016-01-01 17:30:00,0.229615757,2.08,9.8,12.7
2016-01-01 17:45:00,0.225139929,2.213333333,9.2,12.72
2016-01-01 18:00:00,0.19094467,1.73125,8.6875,12.7
2016-01-01 18:15:00,0.206460603,2.18,9.266666667,12.7
2016-01-01 18:30:00,0.186052468,2.271428571,8.428571429,12.7
2016-01-01 18:45:00,0.188530159,2.206666667,9.2,12.7
2016-01-01 19:00:00,0.161144577,2.04,10.0,12.7
2016-01-01 19:15:00,0.178380106,1.846666667,9.266666667,12.74
2016-01-01 19:30:00,0.175365119,1.80625,9.0625,12.74375
2016-01-01 19:45:00,0.199010362,2.08,8.733333333,12.7
2016-01-01 20:00:00,0.183341035,2.078571429,10.35714286,12.7
2016-01-01 20:15:00,0.184274224,2.12,9.133333333,12.7
2016-01-01 20:30:00,0.157663242,2.033333333,9.666666667,12.7
2016-01-01 20:45:00,0.176597226,1.84,9.066666667,12.70666667
2016-01-01 21:00:00,0.178667366,1.98125,9.0625,12.7
2016-01-01 21:15:00,0.17794876,2.24,9.4,12.72
2016-01-01 21:30:00,0.153983169,2.078571429,9.5,12.7
2016-01-01 21:45:00,0.161491095,1.746666667,18.13333333,12.7
2016-01-01 22:00:00,0.187235091,1.686666667,23.93333333,12.67333333
2016-01-01 22:15:00,0.210891241,1.866666667,23.66666667,12.60666667
2016-01-01 22:30:00,0.227276305,1.8875,26.9375,12.61875
2016-01-01 22:45:00,0.23618018,1.98,26.0,12.66
2016-01-01 23:00:00,0.253113033,1.735714286,24.85714286,12.64285714
2016-01-01 23:15:00,0.257785168,2.093333333,10.86666667,12.64
2016-01-01 23:30:00,0.243345468,2.166666667,24.0,12.6
2016-01-01 23:45:00,0.225609972,1.94,28.6,12.65333333
2016-01-02 00:00:00,0.227598168,1.84375,11.5,12.6
2016-01-02 00:15:00,0.241132626,1.84,24.73333333,12.66666667
2016-01-02 00:30:00,0.241118228,2.0,27.64285714,12.67857143
2016-01-02 00:45:00,0.240390655,2.02,19.46666667,12.7
2016-01-02 01:00:00,0.234464179,1.966666667,7.466666667,12.7
2016-01-02 01:15:00,0.235362679,2.073333333,8.933333333,12.7
2016-01-02 01:30:00,0.224248473,2.39375,9.25,12.7
2016-01-02 01:45:00,0.187530991,2.373333333,8.666666667,12.69333333
2016-01-02 02:00:00,0.172196598,1.864285714,7.714285714,12.7
2016-01-02 02:15:00,0.183058524,1.92,8.066666667,12.7
2016-01-02 02:30:00,0.178758577,2.106666667,8.666666667,12.69333333
2016-01-02 02:45:00,0.176019053,2.106666667,7.666666667,12.6
2016-01-02 03:00:00,0.172356967,2.0375,6.0625,12.61875
2016-01-02 03:15:00,0.159011719,2.106666667,5.733333333,12.7
2016-01-02 03:30:00,0.153165034,2.1,6.357142857,12.7
2016-01-02 03:45:00,0.145263278,1.94,7.133333333,12.7
2016-01-02 04:00:00,0.15520302,1.766666667,7.466666667,12.7
2016-01-02 04:15:00,0.165743111,2.026666667,8.066666667,12.7
2016-01-02 04:30:00,0.159717796,2.2875,6.9375,12.64375
2016-01-02 04:45:00,0.127036879,2.22,7.333333333,12.66
2016-01-02 05:00:00,0.133570271,1.464285714,5.928571429,12.66428571
2016-01-02 05:15:00,0.171416027,1.806666667,6.266666667,12.66666667
2016-01-02 05:30:00,0.163213976,2.533333333,7.666666667,12.62
2016-01-02 05:45:00,0.121132346,2.24,8.333333333,12.6
2016-01-02 06:00:00,0.124129281,1.53125,8.4375,12.6
2016-01-02 06:15:00,0.17467397,1.7,17.46666667,12.6
2016-01-02 06:30:00,0.17712831,2.192857143,26.57142857,12.6
2016-01-02 06:45:00,0.164953437,2.16,46.26666667,12.6
2016-01-02 07:00:00,0.196610663,1.333333333,67.4,12.6
2016-01-02 07:15:00,0.281403668,1.393333333,60.2,12.6
2016-01-02 07:30:00,0.33055858,1.8,42.0625,12.6
2016-01-02 07:45:00,0.375811785,1.833333333,17.13333333,12.6
2016-01-02 08:00:00,0.376392501,2.335714286,17.14285714,12.6
2016-01-02 08:15:00,0.357877101,2.346666667,5.466666667,12.6
2016-01-02 08:30:00,0.325137435,2.173333333,5.8,12.6
2016-01-02 08:45:00,0.316250654,1.893333333,7.666666667,12.6
2016-01-02 09:00:00,0.314448628,2.1625,6.9375,12.6
2016-01-02 09:15:00,0.294329499,2.193333333,7.733333333,12.6
2016-01-02 09:30:00,0.274627058,2.135714286,7.0,12.6
2016-01-02 09:45:00,0.252131211,2.113333333,6.533333333,12.6
2016-01-02 10:00:00,0.238032832,2.02,8.733333333,12.60666667
2016-01-02 10:15:00,0.227540435,2.2,9.133333333,12.6
2016-01-02 10:30:00,0.213330931,1.925,12.5,12.6
2016-01-02 10:45:00,0.220840414,1.813333333,14.26666667,12.6
2016-01-02 11:00:00,0.227779419,2.207142857,13.85714286,12.6
2016-01-02 11:15:00,0.219563049,1.94,11.93333333,12.6
2016-01-02 11:30:00,0.21480017,2.06,18.8,12.6
2016-01-02 11:45:00,0.223927786,1.76,14.8,12.6
2016-01-02 12:00:00,0.233790617,1.95625,19.5625,12.6
2016-01-02 12:15:00,0.231621861,2.12,25.06666667,12.64
2016-01-02 12:30:00,0.230821372,1.9,31.85714286,12.67142857
2016-01-02 12:45:00,0.266495089,1.546666667,27.93333333,12.7
2016-01-02 13:00:00,0.299968466,1.733333333,22.86666667,12.7
